,title,artist,top genre,year,bpm,nrgy,dnce
278,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,dance pop,2015,190,61,26
279,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,canadian contemporary r&b,2015,120,38,66
280,What Do You Mean?,Justin Bieber,canadian pop,2015,125,57,85
281,Stitches,Shawn Mendes,canadian pop,2015,150,75,75
282,Want to Want Me,Jason Derulo,dance pop,2015,114,68,78
283,My House,Flo Rida,dance pop,2015,94,70,69
284,Waves - Robin Schulz Radio Edit,Mr. Probz,tropical house,2015,120,51,83
285,Night Changes,One Direction,boy band,2015,120,52,67
286,How Deep Is Your Love,Calvin Harris,dance pop,2015,122,87,74
287,Never Forget You,Zara Larsson,dance pop,2015,146,73,58
288,Love Me Harder,Ariana Grande,dance pop,2015,99,71,47
289,Animals,Maroon 5,pop,2015,190,74,28
290,Blame,Calvin Harris,dance pop,2015,128,86,41
291,Worth It,Fifth Harmony,dance pop,2015,100,77,88
292,Break Free,Ariana Grande,dance pop,2015,130,70,69
293,Don't,Ed Sheeran,pop,2015,95,61,81
294,Elastic Heart,Sia,australian dance,2015,130,79,42
295,Rather Be (feat. Jess Glynne),Clean Bandit,dance pop,2015,121,59,80
296,Hello,Adele,british soul,2015,158,45,48
297,Dear Future Husband,Meghan Trainor,dance pop,2015,79,78,66
298,43776,Beyonc�,dance pop,2015,136,71,75
299,The Heart Wants What It Wants,Selena Gomez,dance pop,2015,83,79,62
300,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,dance pop,2015,86,73,60
301,Genie In a Bottle,Christina Aguilera,dance pop,2015,176,80,63
302,Company,Justin Bieber,canadian pop,2015,95,80,59
303,Sing,Ed Sheeran,pop,2015,120,67,82
304,Jealous - Remix,Nick Jonas,dance pop,2015,93,71,68
305,Really Don't Care,Demi Lovato,dance pop,2015,121,73,71
306,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,dance pop,2015,110,61,83
307,Only Love Can Hurt Like This,Paloma Faith,british soul,2015,91,89,57
308,Heartbeat Song,Kelly Clarkson,dance pop,2015,149,80,49
309,Up,Olly Murs,dance pop,2015,115,85,69
310,Trumpets,Jason Derulo,dance pop,2015,82,70,63
311,Runnin' (Lose It All),Naughty Boy,tropical house,2015,139,85,32
312,Same Old Love,Selena Gomez,dance pop,2015,98,59,67
313,I Want You To Know,Zedd,complextro,2015,130,85,58
314,Lips Are Movin,Meghan Trainor,dance pop,2015,139,83,78
315,I'll Show You,Justin Bieber,canadian pop,2015,192,61,36
316,Here,Alessia Cara,canadian contemporary r&b,2015,120,82,38
317,I Lived,OneRepublic,dance pop,2015,120,85,59
318,Fireball (feat. John Ryan),Pitbull,dance pop,2015,123,94,69
319,Easy Love,Sigala,dance pop,2015,124,94,68
320,The Feeling,Justin Bieber,canadian pop,2015,127,81,53
321,I Really Like You,Carly Rae Jepsen,canadian pop,2015,122,81,62
322,BO$$,Fifth Harmony,dance pop,2015,103,87,81
323,Sugar,Maroon 5,pop,2015,120,79,75
